t,Marker,v,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,V'O2_filtered
0 days 00:03:53,,-,3.12380088435885,42.0997423768039,2.59721472411769,-,23.5981590149047,0.831427744681863,31.57,78.26203,28.8577552923428,12.1449239681842,901.153358439264,376.269422136603,440.668763501054,3.0327312794191084
0 days 00:03:54,,-,3.12380088435885,42.0997423768039,2.59721472411769,-,23.5981590149047,0.831427744681863,31.57,78.26203,29.1080756696871,12.1449239681842,901.153358439264,376.269422136603,440.668763501054,3.1099941717856594
0 days 00:03:55,,-,3.12380088435885,42.0997423768039,2.59721472411769,-,23.5981590149047,0.831427744681863,31.57,78.26203,29.3583960470313,12.1449239681842,901.153358439264,376.269422136603,440.668763501054,3.0780899046252252
0 days 00:03:56,,-,2.95795009553692,39.8645565436243,2.50252555224155,-,24.2548513946369,0.846033729919061,27.52,75.70752,29.6025015790147,11.5418661973169,856.406471840911,399.866754641858,376.795748983454,3.006542349887496
0 days 00:03:57,,-,2.95795009553692,39.8645565436243,2.50252555224155,-,24.2548513946369,0.846033729919061,27.52,75.70752,29.8403922656371,11.5418661973169,856.406471840911,399.866754641858,376.795748983454,3.0001068387873566
0 days 00:03:58,,-,3.09782802318688,41.7497038165348,2.68808350157973,-,25.1547598564993,0.867731675696565,29.12,82.1184,30.084577099858,12.1526190640049,901.724334549165,486.569198033696,331.64017127277,3.0667923455714283
0 days 00:03:59,,-,3.09782802318688,41.7497038165348,2.68808350157973,-,25.1547598564993,0.867731675696565,29.12,82.1184,30.3350560816772,12.1526190640049,901.724334549165,486.569198033696,331.64017127277,3.0877097990135822
0 days 00:04:00,,-,2.88928685452521,38.9391759369975,2.49122794870002,-,25.3261457530234,0.862229357669435,28.98,77.34762,30.5769458121541,11.3191607127264,839.881724884301,437.779906255092,324.208956460692,2.9475858769184478
0 days 00:04:01,,-,2.88928685452521,38.9391759369975,2.49122794870002,-,25.3261457530234,0.862229357669435,28.98,77.34762,30.8102462912886,11.3191607127264,839.881724884301,437.779906255092,324.208956460692,2.695206003227015
0 days 00:04:02,,-,2.43061904956697,32.7576691316303,2.05657747257426,-,22.7079928505593,0.846112628361343,27.27,59.12136,31.0246387025822,9.48441558530172,703.743636429387,328.773589448221,309.442501900081,2.5414571194520312
0 days 00:04:03,,-,2.43061904956697,32.7576691316303,2.05657747257426,-,22.7079928505593,0.846112628361343,27.27,59.12136,31.2201230460348,9.48441558530172,703.743636429387,328.773589448221,309.442501900081,2.656363362639986
0 days 00:04:04,,-,3.23919728503273,43.6549499330556,2.80481406973748,-,23.7613375250845,0.865897882385122,31.57,81.51374,31.4487608553049,12.7014634813395,942.448590315392,502.782780866147,352.33964200259,2.9743946168589415
0 days 00:04:05,,-,3.23919728503273,43.6549499330556,2.80481406973748,-,23.7613375250845,0.865897882385122,31.57,81.51374,31.7105521303925,12.7014634813395,942.448590315392,502.782780866147,352.33964200259,3.247794412536932
